,psd_0_0,csd_0_0_TBL,csd_0_0_DAF,psd_0_1,csd_0_1_TBL,csd_0_1_DAF,psd_0_2,csd_0_2_TBL,csd_0_2_DAF,psd_1_0,csd_1_0_TBL,csd_1_0_DAF,psd_1_1,csd_1_1_TBL,csd_1_1_DAF,psd_1_2,csd_1_2_TBL,csd_1_2_DAF,psd_2_0,csd_2_0_TBL,csd_2_0_DAF,psd_2_1,csd_2_1_TBL,csd_2_1_DAF,psd_2_2,csd_2_2_TBL,csd_2_2_DAF
50.0,0.0035995514991423445,(9.319058460800029e-14-5.048709793414476e-29j),(2.657021017571888e-13-7.573064690121713e-29j),0.02036266220763388,(1.0435595268575716e-12+1.5146129380243427e-28j),(1.5030767436524032e-12-1.0097419586828951e-28j),0.11518920044357546,(7.369958306759807e-12-3.2311742677852644e-27j),(8.50272948307047e-12+8.077935669463161e-28j),0.0035995514991423445,(1.1653716083865402e-13+1.8932661725304283e-29j),(3.3198466405812073e-13-1.8932661725304283e-29j),0.02036266220763388,(1.3045466785601969e-12-3.7865323450608567e-29j),(1.878037187116517e-12-1.0097419586828951e-28j),0.11518920044357546,(9.210959706386118e-12+8.077935669463161e-28j),(1.0623836892317135e-11+5.048709793414476e-28j),0.0035995514991423445,(1.1684479537260913e-13-1.3509243001909827e-29j),(3.328149120072859e-13+1.1832913578315177e-30j),0.02036266220763388,(1.3079027723673306e-12+2.7610131682735413e-29j),(1.882733899621242e-12-3.1554436208840472e-30j),0.11518920044357546,(9.234328398424699e-12-3.9758589623138995e-28j),(1.0650405646079112e-11+1.262177448353619e-29j)
56.52173913043478,0.0035995132270078417,(9.428717292271798e-14+5.048709793414476e-29j),(3.399265221739989e-13+5.048709793414476e-29j),0.020362619246038136,(1.2452347197777582e-12+0j),(1.9229806660310397e-12+1.0097419586828951e-28j),0.11518915222024065,(9.208810281524775e-12+0j),(1.0878095297054017e-11-8.077935669463161e-28j),0.0035995132270078417,(1.1801251628387153e-13-3.2343297114061484e-29j),(4.2497149330132597e-13-4.1020767071492614e-29j),0.020362619246038136,(1.5578939496369796e-12-3.7865323450608567e-29j),(2.4040841532643976e-12+1.5146129380243427e-28j),0.11518915222024065,(1.1517179672908833e-11+2.0194839173657902e-27j),(1.359964610321539e-11+1.1107161545511846e-27j),0.0035995132270078417,(1.1833189754701684e-13+1.1931521191467804e-29j),(4.2603738358043236e-13-1.9721522630525295e-30j),0.020362619246038136,(1.5619627660118257e-12+7.257520328033309e-29j),(2.410113945778743e-12-6.310887241768095e-30j),0.11518915222024065,(1.1546669319730319e-11+1.0097419586828951e-27j),(1.3633755992488412e-11-1.262177448353619e-29j)
63.04347826086956,0.0035994685857302596,(9.050280721308696e-14+1.262177448353619e-29j),(4.2344330781716127e-13-1.5146129380243427e-28j),0.02036256913396686,(1.4390514108018015e-12+5.048709793414476e-28j),(2.395462948037715e-12+1.2116903504194741e-27j),0.11518909597046678,(1.1190475762373517e-11+3.2311742677852644e-27j),(1.3550903601595729e-11-2.4233807008389483e-27j),0.0035994685857302596,(1.1338672022804028e-13-2.4454688061851366e-29j),(5.297290463307929e-13+9.466330862652142e-30j),0.02036256913396686,(1.8020239707019735e-12-3.7865323450608567e-28j),(2.996732454047162e-12-2.524354896707238e-29j),0.11518909597046678,(1.4006795988550386e-11+1.5146129380243427e-27j),(1.6952227392133797e-11+1.0097419586828951e-28j),0.0035994685857302596,(1.1370268666843044e-13+4.831773044478697e-30j),(5.31062036205069e-13-3.944304526105059e-30j),0.02036256913396686,(1.8068174394575624e-12-2.9187853493177437e-28j),(3.004273316767129e-12+3.1554436208840472e-30j),0.11518909597046678,(1.4043061130079656e-11-6.941975965944904e-28j),(1.6994885327575798e-11-3.7865323450608567e-29j)
69.56521739130434,0.0035994173393334196,(8.272905319563814e-14+8.204153414298523e-29j),(5.163240513880582e-13+7.573064690121713e-29j),0.020362511606089807,(1.6189782966553082e-12+1.0097419586828951e-28j),(2.920932333687008e-12+2.0194839173657902e-27j),0.1151890313963292,(1.3295069310259496e-11-2.4233807008389483e-27j),(1.6523470817372113e-11-3.2311742677852644e-27j),0.0035994173393334196,(1.0375517188496641e-13+1.8143800820083272e-29j),(6.463937061992713e-13+6.310887241768095e-30j),0.020362511606089807,(2.029448033799276e-12-2.398137151871876e-28j),(3.656758331620309e-12+2.524354896707238e-29j),0.1151890313963292,(1.6656169980546935e-11-2.4233807008389483e-27j),(2.0685977173062798e-11-2.0194839173657902e-28j),0.0035994173393334196,(1.0405396415784154e-13-2.5637979419682884e-30j),(6.480261903725387e-13-1.5777218104420236e-30j),0.020362511606089807,(2.034965057823828e-12+2.193033316514413e-28j),(3.665993570213414e-12+1.262177448353619e-29j),0.1151890313963292,(1.6699866465510192e-11-2.0194839173657902e-27j),(2.0738220148233675e-11-1.3883951931889808e-28j)
76.08695652173913,0.0035993592677783684,(7.218592987829063e-14+6.310887241768095e-30j),(6.186487805641244e-13+5.048709793414476e-29j),0.020362446414880008,(1.7797950637600062e-12+0j),(3.49984586330089e-12-1.6155871338926322e-27j),0.11518895821986755,(1.550247078380339e-11+4.8467614016778965e-27j),(1.9798387222723038e-11-1.6155871338926322e-27j),0.0035993592677783684,(9.062698104874665e-14+2.68212707775144e-29j),(7.75118578690236e-13+2.524354896707238e-29j),0.020362446414880008,(2.233654946561271e-12-4.796274303743752e-28j),(4.3850333766486754e-12+0j),0.11518895821986755,(1.9441429960441445e-11+2.0194839173657902e-28j),(2.4805832075579955e-11-2.0194839173657902e-28j),0.0035993592677783684,(9.089730314408251e-14+4.4965071597597673e-29j),(7.770840121516267e-13-3.1554436208840472e-30j),0.020362446414880008,(2.239882383048472e-12-2.1141472259923116e-28j),(4.396152309370357e-12+6.310887241768095e-30j),0.11518895821986755,(1.9493222522878434e-11-5.048709793414476e-29j),(2.486873111288775e-11-7.573064690121713e-29j)
82.6086956521739,0.0035992941645533265,(6.021461011265423e-14+1.8932661725304283e-29j),(7.305061634168959e-13-1.0097419586828951e-28j),0.02036237332790275,(1.9172018498394993e-12-3.0292258760486853e-28j),(4.1327100641896954e-12-1.6155871338926322e-27j),0.11518887618004169,(1.7792444149551925e-11-7.270142102516845e-27j),(2.337852372147767e-11+6.462348535570529e-27j),0.0035992941645533265,(7.56694582645156e-14-5.206481974458678e-29j),(9.16074103435875e-13-4.417621069237666e-29j),0.02036237332790275,(2.409243585672137e-12+2.271919407036514e-28j),(5.182528028380809e-12-1.5146129380243427e-28j),0.11518887618004169,(2.2338599301606898e-11-1.0097419586828951e-27j),(2.931728879279109e-11-1.2116903504194741e-27j),0.0035992941645533265,(7.590320012225943e-14+1.8834054112151657e-29j),(9.184071312246404e-13+8.67746995743113e-30j),0.02036237332790275,(2.416156994896914e-12-1.0570736129961558e-28j),(5.195726722526739e-12+1.8932661725304283e-29j),0.11518887618004169,(2.2399169020884142e-11-2.473867798773093e-27j),(2.9391953112182194e-11+1.0097419586828951e-28j)
89.13043478260869,0.003599221834804808,(4.808646309777324e-14-2.8398992587956425e-29j),(8.519937375943535e-13+1.0097419586828951e-28j),0.020362292125712233,(2.027893980546324e-12-8.077935669463161e-28j),(4.820082276233041e-12-1.2116903504194741e-27j),0.11518878503036935,(2.0144755614255514e-11-1.1309109937248425e-26j),(2.7267039374442762e-11+1.6155871338926322e-27j),0.003599221834804808,(6.047150632891131e-14+2.2482535798798836e-29j),(1.0694487422145112e-12-1.8932661725304283e-29j),0.020362292125712233,(2.552014495580415e-12-4.291403324402304e-28j),(6.050315513166577e-12-3.0292258760486853e-28j),0.11518878503036935,(2.5323722408311963e-11+6.058451752097371e-28j),(3.4226426411593156e-11-2.2214323091023692e-27j),0.003599221834804808,(6.066412325712079e-14-4.890937612370273e-29j),(1.0721853370538025e-12+3.1554436208840472e-30j),0.020362292125712233,(2.5595786487931797e-12-9.466330862652142e-29j),(6.065797566261643e-12-1.8932661725304283e-29j),0.11518878503036935,(2.539377385880291e-11-1.2369338993865465e-27j),(3.4314007852561934e-11-5.048709793414476e-29j)
95.65217391304347,0.0035991420938558416,(3.685279699845677e-14-1.262177448353619e-29j),(9.832181640947508e-13-3.0292258760486853e-28j),0.02036220260018288,(2.1096011892492104e-12+5.048709793414476e-28j),(5.562572117298308e-12+2.0194839173657902e-27j),0.11518868453705183,(2.253929046865423e-11+1.1309109937248425e-26j),(3.1467389722775925e-11+1.6155871338926322e-27j),0.0035991420938558416,(4.635589402861979e-14-3.2343297114061484e-29j),(1.2354497494577395e-12+1.262177448353619e-29j),0.02036220260018288,(2.6590197294317033e-12+1.0349855076499675e-27j),(6.989576250337191e-12+3.534096855390133e-28j),0.11518868453705183,(2.837298805833049e-11+4.0389678347315804e-28j),(3.953993138937381e-11+4.0389678347315804e-28j),0.0035991420938558416,(4.6506449882264117e-14-3.840766532294801e-29j),(1.2386273582945033e-12+1.5777218104420236e-30j),0.02036220260018288,(2.66718890543564e-12+1.006586515062011e-27j),(7.00755362195272e-12-1.262177448353619e-29j),0.11518868453705183,(2.8453255963668636e-11+4.0389678347315804e-28j),(3.9641629119648226e-11-1.0097419586828951e-28j)
102.17391304347825,0.0035990547660090812,(2.7250344052693705e-14-3.470987982972452e-29j),(1.124295506556398e-12+2.0194839173657902e-28j),0.020362104553160554,(2.1610917554189808e-12+4.0389678347315804e-28j),(6.360843093959239e-12+4.0389678347315804e-28j),0.11518857447745913,(2.495616803986559e-11+1.7771458472818954e-26j),(3.598333593441003e-11+1.6155871338926322e-26j),0.0035990547660090812,(3.4259218388309977e-14+2.7807346909040666e-29j),(1.4143040306909443e-12+6.310887241768094e-29j),0.020362104553160554,(2.728571503759343e-12+4.543838814073028e-28j),(8.001602758276208e-12+0j),0.11518857447745913,(3.146284962153609e-11+7.270142102516845e-27j),(4.526512536336422e-11+4.0389678347315804e-28j),0.0035990547660090812,(3.4370109790556144e-14+2.9409720622770846e-29j),(1.417961731278372e-12-1.1044052673094165e-29j),0.020362104553160554,(2.7372896366426573e-12-9.308558681607939e-29j),(8.02229665893279e-12+0j),0.11518857447745913,(3.1554104838773866e-11-7.573064690121713e-29j),(4.538219091082694e-11+5.048709793414476e-29j)
108.69565217391303,0.003598959683564678,(1.966713678274279e-14+2.997671439839845e-29j),(1.2753515370859461e-12+5.048709793414476e-28j),0.020361997795355018,(2.1821431621100724e-12-7.068193710780266e-28j),(7.215614363516665e-12+4.0389678347315804e-28j),0.11518845463888527,(2.7375854159759005e-11+6.462348535570529e-27j),(4.081895480772679e-11+6.462348535570529e-27j),0.003598959683564678,(2.4685827193786212e-14-4.141519752410312e-29j),(1.6062590953908276e-12-1.262177448353619e-29j),0.020361997795355018,(2.7602115335297387e-12+7.573064690121713e-28j),(9.08780509781145e-12-6.058451752097371e-28j),0.11518845463888527,(3.4570141678605003e-11-1.2116903504194741e-27j),(5.140999600319587e-11-3.6350710512584224e-27j),0.003598959683564678,(2.4762220855972913e-14-1.0698926027059973e-29j),(1.6104377641638196e-12+1.5777218104420236e-30j),0.020361997795355018,(2.769412299699464e-12-1.6313643519970524e-27j),(9.111446942073215e-12-1.8932661725304283e-29j),0.11518845463888527,(3.467319634957629e-11+5.023466244447403e-27j),(5.154373865127466e-11-1.0097419586828951e-28j)
