f0,Gvv0,f1,Gvv1,f2,Gvv2
52.20417633410676,1.9188080087747328e-16,49.883990719257554,1.9456635359180936e-15,51.044083526682186,1.305251391845861e-14
59.16473317865433,1.8319381129546216e-16,56.84454756380512,2.1677844495385312e-15,60.324825986078906,1.664669290425156e-14
66.1252900232019,1.7762209244835045e-16,61.48491879350348,2.270580066901462e-15,70.76566125290026,2.1477906711799723e-14
73.08584686774947,1.6958063514997732e-16,73.08584686774947,2.7969202319211055e-15,80.04640371229704,2.7711238464845923e-14
80.04640371229704,1.6190323749413135e-16,80.04640371229704,3.0922527415486547e-15,90.48723897911833,3.61701325760127e-14
87.0069605568446,1.5697905739560418e-16,84.6867749419954,3.2892934156952724e-15,99.76798143851511,4.507373439916833e-14
93.96751740139212,1.4987216900472068e-16,96.28770301624132,4.083187557562971e-15,113.68909512761024,5.3008568527586095e-14
100.92807424593968,1.4089427938392993e-16,103.24825986078889,4.479615905516982e-15,127.61020881670538,6.16223747235256e-14
107.88863109048725,1.226114948061897e-16,110.20881670533646,4.5493325687770964e-15,142.6914153132251,7.388301350738105e-14
114.84918793503482,1.0670112884883328e-16,114.84918793503482,4.5493325687770964e-15,148.49187935034803,8.0432690376729e-14
121.80974477958239,9.285533069808538e-17,131.09048723897916,4.765060405599768e-15,167.05336426914158,9.136178740264412e-14
128.77030162412996,8.08061970109617e-17,138.05104408352673,4.765060405599768e-15,180.97447795823666,9.680894625777795e-14
135.73085846867752,7.032058823424118e-17,145.0116009280743,4.765060405599768e-15,198.37587006960558,1.0869693641542144e-13
142.6914153132251,6.119561757050504e-17,151.9721577726218,4.655947217847869e-15,216.93735498839908,1.1651944043702893e-13
148.49187935034803,5.3875129858927155e-17,158.93271461716938,4.479615905516982e-15,234.33874709976806,1.2346654512724903e-13
154.29234338747102,4.634426254866928e-17,163.5730858468678,4.343371344676813e-15,250.58004640371234,1.323519615671448e-13
161.2529002320186,4.033051825545565e-17,179.8143851508121,3.9285479564613434e-15,266.82134570765663,1.3082784905663353e-13
168.21345707656616,3.509713205697202e-17,186.77494199535965,3.750691417327952e-15,283.0626450116009,1.2783207514356408e-13
174.01392111368915,3.019112356689929e-17,191.41531322505801,3.60864420140798e-15,300.4640371229699,1.239441469580755e-13
179.8143851508121,2.6579529177553025e-17,200.6960556844548,3.263992571211356e-15,317.86542923433876,1.2204475353587488e-13
186.77494199535965,2.31305047866707e-17,207.65661252900236,3.0214444987888335e-15,332.9466357308585,1.1651944043702893e-13
192.57540603248265,2.0600762713772184e-17,213.45707656612535,2.8958137355265257e-15,350.34802784222745,1.0869693641542144e-13
198.37587006960558,1.7517041730670972e-17,228.53828306264506,2.5103352454063933e-15,365.42923433874716,1.0139959428043608e-13
204.17633410672852,1.560123410487559e-17,235.49883990719263,2.359957007111e-15,381.67053364269145,9.242612992732143e-14
209.9767981438515,1.3265890814924772e-17,241.29930394431562,2.1930386092870663e-15,397.91183294663574,8.48998208796824e-14
215.7772621809745,1.1544476538478602e-17,249.41995359628777,1.9759440716631396e-15,402.55220417633416,8.424678179398136e-14
220.41763341067292,1.0163475708816833e-17,256.38051044083534,1.871976831883383e-15,416.4733178654293,7.561447882417102e-14
225.05800464037122,9.051914489353345e-18,262.1809744779582,1.8010808109504842e-15,431.554524361949,6.999554872984434e-14
229.69837587006964,8.155842171084254e-18,279.5823665893272,1.5917612730439553e-15,448.95591647331787,6.380121860593041e-14
234.33874709976806,7.180204621186117e-18,286.54292343387476,1.5314776527491718e-15,466.35730858468685,6.380121860593041e-14
238.97911832946636,6.469417681238752e-18,292.34338747099775,1.4964089664286565e-15,482.59860788863114,6.234026034895474e-14
243.61948955916478,5.695517612626665e-18,300.4640371229699,1.353491083441119e-15,500,6.282349099294777e-14
248.2598607888632,5.131703661788801e-18,307.42459396751747,1.3022312972355486e-15,515.0812064965197,7.590697598189188e-14
258.7006960556845,4.5004179730804105e-18,313.22505800464035,1.243275582746543e-15,529.0023201856148,8.722557944577051e-14
265.66125290023206,4.26362177969297e-18,328.3062645011602,1.0736229273363795e-15,542.92343387471,1.0744522575935425e-13
274.9419953596288,3.886308060375427e-18,335.26682134570774,1.0171326582441646e-15,551.0440835266821,1.1385130897615416e-13
281.90255220417635,3.681824174538056e-18,341.0672853828306,9.861972398374172e-16,561.4849187935035,1.5208716180753354e-13
288.8631090487239,3.4082269352522086e-18,351.508120649652,8.450739248289212e-16,568.4454756380511,1.9396633423304597e-13
295.8236658932715,3.2040617094434425e-18,358.4686774941996,7.762591044814134e-16,577.7262180974478,2.473774799178475e-13
302.78422273781905,3.012126725405938e-18,374.7099767981439,6.063120185358274e-16,588.1670533642691,3.304567962735125e-13
309.7447795823666,3.012126725405938e-18,381.67053364269145,5.526557951179202e-16,597.447795823666,4.363540731086427e-13
314.38515081206504,3.012126725405938e-18,386.31090487238987,5.155533840210269e-16,602.0881670533643,4.787187996578965e-13
325.9860788863109,3.1549607725730353e-18,400.2320185614849,4.2177791571973796e-16,606.7285382830627,6.176528743202259e-13
332.9466357308585,3.1549607725730353e-18,407.19257540603246,3.9958544259951903e-16,610.2088167053364,7.263852252558938e-13
339.90719257540604,3.1549607725730353e-18,412.99303944315545,3.8149507315603525e-16,614.8491879350348,9.930746396104459e-13
346.8677494199536,3.1549607725730353e-18,430.39443155452443,3.2189404645784735e-16,620.6496519721578,1.3265890814924772e-12
353.8283062645012,3.1549607725730353e-18,437.354988399072,3.073209874790281e-16,627.6102088167054,1.7927557609349762e-12
360.78886310904875,3.3045679627351252e-18,441.9953596287703,2.95682042599827e-16,634.570765661253,2.422734562800464e-12
367.7494199535963,3.3045679627351252e-18,451.27610208816714,2.8891133929643434e-16,639.2111368909513,3.125862129287654e-12
374.7099767981439,3.4612694760795138e-18,458.2366589327147,3.073209874790281e-16,643.8515081206497,3.5919641372585868e-12
381.67053364269145,3.515137522716985e-18,464.0371229698376,3.2438920875740674e-16,656.6125290023202,1.966810759529432e-12
388.631090487239,3.6254017230512106e-18,476.79814385150814,3.7564881699680083e-16,664.7331786542924,1.3576779999758389e-12
395.5916473317866,3.681824174538056e-18,483.7587006960557,3.965118800243466e-16,671.6937354988399,9.969161196286683e-13
401.3921113689096,3.797317066566606e-18,489.5591647331787,4.1853365134324592e-16,677.4941995359629,9.051914489353345e-13
409.5127610208817,3.9773845784742604e-18,500,4.735715970334106e-16,685.6148491879351,7.097520242642708e-13
416.4733178654293,4.1659908318870926e-18,506.96055684454757,5.276354954700513e-16,697.215777262181,5.211568825161181e-13
423.43387470997686,4.363540731086427e-18,511.600928074246,5.656074100554173e-16,716.9373549883991,4.732060645013014e-13
430.39443155452443,4.570458380779823e-18,523.2018561484919,6.9136103009054e-16,735.4988399071925,4.677568118085799e-13
437.354988399072,4.787187996578965e-18,530.1624129930394,7.643632507992378e-16,749.4199535962877,4.5178268012063795e-13
444.31554524361957,5.014194858652131e-18,534.8027842227378,8.385737190864091e-16,765.661252900232,5.1317036617888e-13
451.27610208816714,5.2926769372190025e-18,548.723897911833,1.0409693946835614e-15,780.7424593967518,5.761869002715559e-13
458.2366589327147,5.761869002715512e-18,554.524361948956,1.2724120303350274e-15,795.8236658932716,6.469417681238752e-13
465.19721577726216,6.32127710672074e-18,558.0046403712297,1.4286622765964904e-15,802.784222737819,6.621029963996733e-13
472.1577726218097,6.93499700203522e-18,566.1252900232018,1.9306977288832534e-15,814.385150812065,8.542589493342138e-13
479.1183294663573,7.608301709650423e-18,570.7656612529003,2.2970317705030797e-15,824.8259860788863,1.0522835875825643e-12
486.07888631090486,8.346976197405942e-18,577.7262180974478,3.1042144075142658e-15,835.2668213457076,1.3576779999758389e-12
